Timestamp,Which residential college do you stay in? ,Year of study,How often do you use the laundry service?,The laundry area is clean and hygienic,Washing machines function properly  ,Dryers dry clothes effectively  ,The timer displayed on machines is accurate  ,There are enough machines during peak hour  ,The payment system works properly without issues  ,"Overall, I am satisfied with the campus laundry service  ",Describe your overall experience using the campus laundry service  ,What problems have you experienced when using the laundry service?  ,What do you think the laundry service management can improve?  ,Is there anything you like about the current laundry service?  
2026/03/03 4:16:00 PM GMT+8,Ilmu,Year 1,Every weekend,2,3,4,3,2,3,4,Okay. was in maintenance so had to go wash at dc so when it finally works veryy helpful and save time  ,Area not clean. People sometimes wear shoes even though it says not to. Sink and overall dirty and dusty,Clean area more frequently ,NA
2026/03/03 4:20:14 PM GMT+8,Ilmu,Year 4,Rarely,3,1,2,2,3,4,4,I rarely use it because now got zafirah laundry service. But when i use it its usually in the morning so okay no waiting time,Dryer not drying properly but it might be coz i put too much laundry,Add different kg machine. If i have big laundry have to put in two different machine already occupying 2 out of 3,Price is cheaper tho only rm5 each
2026/03/03 4:23:11 PM GMT+8,Cendikiawan,Year 3,Rarely,2,5,3,3,1,5,3,Average. Does the minimum,Sometimes it gets dirty coz people keeps spilling laundry detergent and just leave it like that ,Add a sapu or mop to clean up by ourselves,Paying is easier like its lesser clicks 
2026/03/03 4:25:22 PM GMT+8,Murni,Year 3,1–2 times/week,2,3,1,2,3,4,3,Cheap and easy to use,Pay but machine not working so have to ask refund but takes time for refund,Add cash payment instead of only qr code,Cheap but at the same time its coz smll size
2026/03/03 4:31:06 PM GMT+8,Murni,Year 4,Every weekend,2,2,2,2,1,4,3,Meeh always problem when use,Dryer not drying and area not clean,Should rennovte. Last time rennovate but idk what changed ig the payment method only change,Paying is easier
2026/03/03 4:33:48 PM GMT+8,Ilmu,Year 4,1–2 times/week,4,4,3,3,2,2,3,Can be improved,Paying is sometimes slow and one time i accidentally pay twice,Add 2-3 washing machine and dryer each,Can wash clothes 24/7
2026/03/03 4:36:09 PM GMT+8,Murni,Year 3,Every weekend,3,3,3,2,1,5,3,Gud but sometimes have to wait long because not enough machine,Have to wait llong during peak hours making it frustrating ,"Add more fan, its too hot to wait only got one fan and its slow",Cheap RM5 only
2026/03/03 4:38:49 PM GMT+8,Ilmu,Year 2,1–2 times/week,2,2,2,2,2,4,3,For me all ok only sometimes got problem ,Timer late by 10 min ,Update timer ,Pay is easy 
2026/03/03 4:40:45 PM GMT+8,Murni,Year 3,Every weekend,3,3,3,2,2,3,3,Ok but sometimes got problems,Machine breaks down ,Regular maintenance ,.
2026/03/03 4:43:59 PM GMT+8,Murni,Year 1,1–2 times/week,4,4,3,3,2,3,4,Generally no problem,I am required to wait for a long time to wash my clothes due to the limited amount of machines ,I think it would be better if uniten can add more machines or make it so that we can queue virtually,Other than the problems mentioned everything is fine
2026/03/03 4:45:58 PM GMT+8,Murni,Year 2,1–2 times/week,4,4,3,1,1,5,4,It does work,Very rarely the dryer does not dry properly and timer is not accurate and ik because i make timer on my phone and when i go down it says 5 min left ,Make the dryer heater more heat,No comment
2026/03/03 4:48:15 PM GMT+8,Ilmu,Year 1,Every weekend,4,4,2,2,2,4,3,My experience is usually okay ,The queueing during waiting time and sometimes people cut me off not knowing i was there first,Better just add additional machines,Machines functions as needed
2026/03/03 5:47:54 PM GMT+8,Murni,Year 2,Every weekend,3,3,3,3,3,3,3,"Convenient and time-saving, but sometimes a bit challenging.","Machines occasionally break down, long waits during peak hours, and detergent issues.","More machines, regular maintenance, real-time availability updates, and consistent supplies.",24/7 access
2026/03/03 5:50:44 PM GMT+8,Ilmu,Year 2,1–2 times/week,4,3,4,4,3,4,3,"Laundry service is helpful and saves time, but sometimes crowded.","Some machines don’t work, long queues, and detergent runs out occasionally.","Fix broken machines faster, add more machines, and track availability online.",Easy access
2026/03/03 6:47:21 PM GMT+8,Amanah,Year 2,Every weekend,2,4,4,3,2,3,2,Very bad.,Payment issue. System down.,Everything should be improved.,NA
